time="2025-07-09 11:49:56" level=info msg="获取表单数据失败:  request Content-Type isn't multipart/form-data"
time="2025-07-09 11:51:05" level=info msg="获取表单数据失败 request Content-Type isn't multipart/form-data"
time="2025-07-09 11:57:31" level=info msg="err:  unsupported field type for multipart.FileHeader"
time="2025-07-09 11:59:20" level=info msg="err:  unsupported field type for multipart.FileHeader"
time="2025-07-09 11:59:21" level=info msg="err:  unsupported field type for multipart.FileHeader"
time="2025-07-09 11:59:46" level=info msg="err:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:00:28" level=info msg="err:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:00:57" level=info msg="err:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:02:01" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:06:29" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:06:31" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:06:31" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:06:32" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:07:38" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:07:39" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:10:17" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:11:03" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:11:04" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:11:12" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:11:13" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:11:13" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 12:15:04" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 13:47:55" level=info msg="请求表单数据绑定失败:  unsupported field type for multipart.FileHeader"
time="2025-07-09 13:48:45" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 13:48:451752040125.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 13:57:02" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 13:57:021752040622.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:03:50" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:03:501752041030.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:06:40" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:06:401752041200.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:08:17" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:08:171752041297.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:08:32" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:08:321752041312.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:11:48" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:11:481752041508.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:11:49" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:11:491752041509.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:16:53" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:16:531752041813.jpg: The filename, directory name, or volume label syntax is incorrect."
time="2025-07-09 14:17:18" level=info msg="err:  open ./static/imgs/product/boss1/可口可乐02025-07-09 14:17:181752041838.jpg: The filename, directory name, or volume label syntax is incorrect."
